"Event","Event Date","Fights"
"UFC Fight Night Namajunas vs Cortez","Sun, Jul 14","[""Rose Namajunas vs Tracy Cortez"",""Drew Dober vs Mike Davis"",""Santiago Ponzinibbio vs Muslim Salikhov"",""Gabriel Bonfim vs Ange Loosa"",""Julian Erosa vs Christian Rodriguez"",""Abdul Razak Alhassan vs Cody Brundage"",""Viviane Araújo vs Jasmine Jasudavicius"",""Luana Santos vs Mariya Agapova"",""Josh Fremd vs Andre Petroski""]"
"UFC Fight Night Sandhagen vs Nurmagomedov","Sat, Aug 3","[""Cory Sandhagen vs Umar Nurmagomedov"",""Vicente Luque vs Nick Diaz"",""Marlon Vera vs Deiveson Figueiredo"",""Mackenzie Dern vs Loopy Godinez"",""Tony Ferguson vs Michael Chiesa""]"
"UFC 305 Du Plessis vs Adesanya","Sun, Aug 18","[""Dricus Du Plessis vs Israel Adesanya"",""Kai Kara-France vs Steve Erceg"",""Tai Tuivasa vs Jairzinho Rozenstruik"",""Junior Tafa vs Valter Walker"",""Casey O'Neill vs Tereza Bleda"",""Josh Culibao vs Ricardo Ramos"",""Jack Jenkins vs Gavin Tucker"",""Tom Nolan vs Alex Reyes""]"
"UFC Fight Night Lemos vs Jandiroba","Sun, Jul 21","[""Amanda Lemos vs Virna Jandiroba"",""Brad Tavares vs Junyong Park"",""Steve Garcia vs Seungwoo Choi"",""Kurt Holobaugh vs Kaynan Kruschewsky"",""Dooho Choi vs Bill Algeo"",""Cody Durden vs Bruno Silva"",""JeongYeong Lee vs Hyder Amil"",""Brian Kelleher vs Cody Gibson"",""Miranda Maverick vs Dione Barbosa"",""Loik Radzhabov vs Trey Ogden"",""Luana Carolina vs Lucie Pudilova"",""Mohammed Usman vs Thomas Petersen""]"
"UFC 304 Edwards vs Muhammad 2","Sun, Jul 28","[""Leon Edwards vs Belal Muhammad"",""Tom Aspinall vs Curtis Blaydes"",""Bobby Green vs Paddy Pimblett"",""Muhammad Mokaev vs Manel Kape"",""Arnold Allen vs Giga Chikadze"",""Nathaniel Wood vs Daniel Pineda"",""Molly McCann vs Bruna Brasil"",""Caolán Loughran vs Ramon Taveras"",""Mick Parkin vs Lukasz Brzeski"",""Oban Elliott vs Preston Parsons"",""Christian Leroy Duncan vs Robert Bryczek"",""Sam Patterson vs Kiefer Crosbie"",""Shauna Bannon vs Ravena Oliveira"",""Modestas Bukauskas vs Marcin Prachnio""]"
"ONE Fight Night 25","Oct 4 (Fri)Oct 5 (Sat)","[]"
"ONE 169: Atlanta","Nov 8 (Fri)Nov 9 (Sat)","[""Anatoly Malykhin vs Oumar Kane"",""Tawanchai PK Saenchai vs Jo Nattawut""]"
"ONE Fight Night 26","Dec 6 (Fri)Dec 7 (Sat)","[]"
"ONE 168: Denver","Sep 6 (Fri)Sep 7 (Sat)","[""Xiong Jing Nan vs Stamp Fairtex"",""Jonathan Haggerty vs Superlek Kiatmoo9"",""Kade Ruotolo vs Mikey Musumeci"",""Liam Harrison vs Seksan Or Kwanmuang"",""Aung La N Sang vs Shamil Erdogan"",""Alyse Anderson vs Victoria Souza""]"
"ONE Fight Night 24: Brooks vs. Balart on Prime Video","Aug 2 (Fri)Aug 3 (Sat)","[""Jarred Brooks vs Gustavo Balart"",""Danielle Kelly vs Mayssa Bastos"",""Shamil Gasanov vs Aaron Canarte"",""Rambolek Chor Ajalaboon vs Craig Coakley"",""Asa Ten Pow vs Carlo Bumina-ang"",""Taiki Naito vs Elias Mahmoudi"",""Keito Yamakita vs Yosuke Saruta"",""Yu Yau Pui vs Amy Pirnie""]"